Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Asus Zenfone 10,Asus,Zenfone 10,16GB,1TB,Sunset Red,6.3,5009mAh,110MP,45W,37000,26340,28.81,Decent performance for the price. performance is fine. Exceeds expectations! performance is fantastic. A perfect balance of performance and quality. Not impressed Major flaws with the performance. Needs urgent improvement. build quality is okay. Not worth the price Fair performance for the price. display is acceptable. battery life doesn't meet the standards. Highly recommended Superb performance! Makes everything better. Amazing display. Highly recommended Unacceptable camera. It ruins the overall experience.,FALSE
Asus ROG Phone 6,Asus,ROG Phone 6,12GB,256GB,Sunset Red,6.2,4018mAh,59MP,33W,21000,15080,28.19,"Absolutely love the battery life. Highly recommend! Very poor build quality. Would not recommend. display could use a lot of improvement. Highly recommended Not bad, but battery life could use some refinement. Not impressed Exceptional battery life. Definitely worth the price. Mediocre camera. Could have been better. Major flaws with the performance. Needs urgent improvement. Absolutely love the build quality. Highly recommend! Terrible battery life! Extremely dissatisfied. Really impressed with the build quality. Highly recommended",TRUE
OnePlus 11,OnePlus,11,16GB,128GB,Cool Blue,6.2,5197mAh,87MP,80W,62000,49180,20.68,battery life doesn't meet the standards. It could be better camera doesn't meet the standards. It could be better Terrible camera! Extremely dissatisfied. performance is okay. Not worth the price camera is okay. Not worth the price Mediocre battery life. Could have been better. Very poor display. Would not recommend. camera could use a lot of improvement. It could be better Exceptional performance. Definitely worth the price. Highly impressed with the display. Great job!,TRUE
OnePlus 12R,OnePlus,12R,6GB,128GB,Silky Black,6.4,5310mAh,196MP,100W,68000,46830,31.13,"The display is frustrating to deal with. It could be better The battery life is neither here nor there. Highly recommended battery life could use a lot of improvement. Not worth the price Major flaws with the battery life. Needs urgent improvement. Fair performance for the price. display is acceptable. Major flaws with the build quality. Needs urgent improvement. Not bad, but build quality could use some refinement. I love it Unacceptable build quality. It ruins the overall experience. Really impressed with the display. I love it Very poor build quality. Would not recommend.",FALSE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,8GB,512GB,Phantom Black,6.6,5083mAh,112MP,65W,75000,52350,30.2,"Highly impressed with the camera. Great job! Not bad, but battery life could use some refinement. Highly recommended camera could use a lot of improvement. Highly recommended camera is disappointing. It could be better Fair performance for the price. camera is acceptable. Decent performance for the price. build quality is fine. display is disappointing. Not worth the price The display is neither here nor there. Not impressed Superb performance! Makes everything better. Very poor display. Would not recommend.",TRUE
Xiaomi 13 Pro,Xiaomi,13 Pro,8GB,128GB,Red,6.7,4651mAh,124MP,65W,45000,35960,20.09,"Superb display! Makes everything better. A balanced experience overall, but build quality lacks wow factor. Absolutely love the performance. Highly recommend! Really impressed with the display. I love it Unacceptable display. It ruins the overall experience. Decent performance for the price. performance is fine. Really impressed with the display. Highly recommended Mediocre performance. Could have been better. Exceeds expectations! performance is fantastic. Fair performance for the price. battery life is acceptable.",TRUE
Motorola Edge 20,Motorola,Edge 20,16GB,1TB,Magenta,6.6,4330mAh,122MP,33W,33000,25340,23.21,"camera could use a lot of improvement. Not impressed Satisfactory build quality, but nothing extraordinary. Satisfactory display, but nothing extraordinary. Absolutely love the build quality. Highly recommend! Unacceptable display. It ruins the overall experience. Mediocre battery life. Could have been better. Satisfactory battery life, but nothing extraordinary. Meets expectations, but performance is unremarkable. Meets expectations, but build quality is unremarkable. Superb display! Makes everything better.",TRUE
Vivo Vivo V23,Vivo,Vivo V23,16GB,512GB,Space Black,6.6,4603mAh,178MP,65W,25000,18710,25.16,"Satisfactory battery life, but nothing extraordinary. Mediocre camera. Could have been better. camera could use a lot of improvement. It could be better The build quality is neither here nor there. Not worth the price Really impressed with the display. Not worth the price Worth every penny! display is top-notch Exceeds expectations! build quality is fantastic. Mediocre camera. Could have been better. Fair performance for the price. performance is acceptable. camera is disappointing. It could be better",FALSE
Google Pixel 6,Google,Pixel 6,8GB,1TB,Porcelain,6.6,5116mAh,79MP,80W,41000,29790,27.34,"Unacceptable performance. It ruins the overall experience. Fair performance for the price. build quality is acceptable. Decent performance for the price. battery life is fine. Amazing build quality. Not worth the price display could use a lot of improvement. Highly recommended Satisfactory build quality, but nothing extraordinary. display doesn't meet the standards. Not worth the price Exceptional performance. Definitely worth the price. performance is okay. Not impressed Not bad, but battery life could use some refinement. Not worth the price",FALSE
Asus ROG Phone 6,Asus,ROG Phone 6,16GB,256GB,Moonlight White,6.8,4038mAh,120MP,80W,17000,12710,25.24,"A balanced experience overall, but performance lacks wow factor. Worth every penny! camera is top-notch Highly impressed with the build quality. Great job! Not satisfied with the build quality. Highly recommended The camera is neither here nor there. Not worth the price Major flaws with the battery life. Needs urgent improvement. Very poor battery life. Would not recommend. battery life doesn't meet the standards. It could be better Major flaws with the build quality. Needs urgent improvement. Exceptional build quality. Definitely worth the price.",TRUE
